GAME,TEAM,PLAYER,MIN,PTS,REB,AST,STL,BLK,TO,FO,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,+/-,EFF
FRA1,Turkey,Sadik Kabaca,25,3,0,0,0,0,2,2,0,8,0.0,0,4,0.0,0,4,0.0,3,4,75.0,0,0,-31,-8
FRA1,Turkey,Erkan Yilmaz,19,2,5,0,0,0,2,1,0,2,0.0,0,1,0.0,0,1,0.0,2,2,100.0,0,5,-17,3
FRA1,Turkey,Omer Ilyasoglu,13,2,0,2,0,0,2,2,0,4,0.0,0,2,0.0,0,2,0.0,2,2,100.0,0,0,-19,-2
FRA1,Turkey,Furkan Haltali,12,1,2,0,0,1,1,2,0,1,0.0,0,1,0.0,0,0,0.0,1,2,50.0,1,1,-10,1
FRA1,Turkey,Muhsin Yasar,8,1,1,0,0,0,0,0,0,3,0.0,0,3,0.0,0,0,0.0,1,2,50.0,1,0,-23,-2
GER2,Germany,Dennis Schroder,28,23,1,6,1,0,5,2,7,16,44.0,5,7,71.0,2,9,22.0,7,9,78.0,0,1,-16,15
GER2,Germany,Oscar Da Silva,28,15,2,1,5,0,0,3,5,7,71.0,3,5,60.0,2,2,100.0,3,4,75.0,2,0,-6,20
GER2,Germany,Johannes Voigtmann,30,8,11,1,0,0,2,0,4,11,36.0,4,6,67.0,0,5,0.0,0,0,0.0,5,6,-19,11
GER2,Germany,Isaac Bonga,17,6,3,0,1,0,0,3,2,6,33.0,2,3,67.0,0,3,0.0,2,3,67.0,1,2,-16,5
GER2,Germany,Maodo Lo,19,6,0,2,0,0,2,4,2,4,50.0,0,1,0.0,2,3,67.0,0,0,0.0,0,0,-4,4
GER2,Germany,Niels Giffey,16,5,2,0,0,0,1,1,2,5,40.0,1,2,50.0,1,3,33.0,0,0,0.0,0,2,-6,3
GER2,Germany,Louis Olinde,5,2,1,0,0,0,0,0,1,2,50.0,1,1,100.0,0,1,0.0,0,0,0.0,1,0,-8,2
GER2,Germany,Justus Hollatz,14,1,1,1,1,0,0,3,0,3,0.0,0,0,0.0,0,3,0.0,1,2,50.0,0,1,-10,0
GER2,Germany,David Kramer,9,0,1,1,0,0,0,1,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,0,-6,1
